['SNMPv2-MIB::sysUpTime.0', '189919100']
['SNMPv2-MIB::sysContact.0', 'System Contact']
['SNMPv2-MIB::sysName.0', 'HG7']
['SNMPv2-MIB::sysLocation.0', 'System Location']
['SNMPv2-SMI::mib-2.2.2.1', '1']
['SNMPv2-SMI::mib-2.2.2.1.1.1', '1']
['SNMPv2-SMI::mib-2.2.2.1.1.2', '2']
['SNMPv2-SMI::mib-2.2.2.1.1.10', '10']
['SNMPv2-SMI::mib-2.2.2.1.1.11', '11']
['SNMPv2-SMI::mib-2.2.2.1.1.12', '12']
['SNMPv2-SMI::mib-2.2.2.1.1.13', '13']
['SNMPv2-SMI::mib-2.2.2.1.1.14', '14']
['SNMPv2-SMI::mib-2.2.2.1.1.15', '15']
['SNMPv2-SMI::mib-2.2.2.1.1.16', '16']
['SNMPv2-SMI::mib-2.2.2.1.1.17', '17']
['SNMPv2-SMI::mib-2.2.2.1.1.18', '18']
['SNMPv2-SMI::mib-2.2.2.1.1.3', '3']
['SNMPv2-SMI::mib-2.2.2.1.1.4', '4']
['SNMPv2-SMI::mib-2.2.2.1.1.5', '5']
['SNMPv2-SMI::mib-2.2.2.1.1.6', '6']
['SNMPv2-SMI::mib-2.2.2.1.1.7', '7']
['SNMPv2-SMI::mib-2.2.2.1.1.8', '8']
['SNMPv2-SMI::mib-2.2.2.1.1.9', '9']
['SNMPv2-SMI::mib-2.2.2.1.2.1', 'ppp5']
['SNMPv2-SMI::mib-2.2.2.1.2.2', 'wlan1-wds1']
['SNMPv2-SMI::mib-2.2.2.1.2.10', 'lo']
['SNMPv2-SMI::mib-2.2.2.1.2.11', 'br0']
['SNMPv2-SMI::mib-2.2.2.1.2.12', 'eth2']
['SNMPv2-SMI::mib-2.2.2.1.2.13', 'ppp4']
['SNMPv2-SMI::mib-2.2.2.1.2.14', 'wlan1-wds0']
['SNMPv2-SMI::mib-2.2.2.1.2.15', 'eth0.5']
['SNMPv2-SMI::mib-2.2.2.1.2.16', 'pon0']
['SNMPv2-SMI::mib-2.2.2.1.2.17', 'wlan1-vap2']
['SNMPv2-SMI::mib-2.2.2.1.2.18', 'wlan1']
['SNMPv2-SMI::mib-2.2.2.1.2.3', 'eth0.6']
['SNMPv2-SMI::mib-2.2.2.1.2.4', 'wlan1-vap3']
['SNMPv2-SMI::mib-2.2.2.1.2.5', 'wlan1-wds5']
['SNMPv2-SMI::mib-2.2.2.1.2.6', 'wl0']
['SNMPv2-SMI::mib-2.2.2.1.2.7', 'ppp0']
['SNMPv2-SMI::mib-2.2.2.1.2.8', 'nas0_0']
['SNMPv2-SMI::mib-2.2.2.1.2.9', 'wlan0-vap3']
['SNMPv2-SMI::mib-2.2.2.1.3.1', '23']
['SNMPv2-SMI::mib-2.2.2.1.3.2', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.10', '24']
['SNMPv2-SMI::mib-2.2.2.1.3.11', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.12', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.13', '23']
['SNMPv2-SMI::mib-2.2.2.1.3.14', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.15', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.16', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.17', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.18', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.3', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.4', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.5', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.6', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.7', '23']
['SNMPv2-SMI::mib-2.2.2.1.3.8', '6']
['SNMPv2-SMI::mib-2.2.2.1.3.9', '6']
['SNMPv2-SMI::mib-2.2.2.1.4.1', '1500']
['SNMPv2-SMI::mib-2.2.2.1.4.2', '1500']
['SNMPv2-SMI::mib-2.2.2.1.4.3', '1500']
['SNMPv2-SMI::mib-2.2.2.1.4.4', '1500']
['SNMPv2-SMI::mib-2.52.1', 'YOOKKK']
['SNMPv2-SMI::mib-2.5.1.0', '43']
['SNMPv2-SMI::mib-2.7.1.0', '1016430']
['SNMPv2-SMI::mib-2.7.1.0', '1016432']
['SNMPv2-SMI::mib-2.7.1.0', '1016434']
['SNMPv2-SMI::enterprises.17409.1.3.1.13', '54']
